Coin	Extreme Fear	Extreme Greed	Fear	Greed	Neutral
@1	0	0	2	1	0
@10	0	0	1	2	0
@103	0	0	0	2	0
@107	67	2395	1456	1911	1079
@11	0	1	0	0	0
@113	0	0	0	1	0
@13	0	0	1	2	0
@14	0	16	0	1	0
@142	0	0	12	149	0
@16	0	0	1	2	0
@20	0	4	0	20	0
@23	0	0	9	0	0
@26	0	0	1	8	0
@29	0	0	1	4	0
@3	0	1	0	13	0
@33	0	0	0	3	0
@35	0	0	1	2	0
@37	0	0	1	0	0
@38	0	1	1	1	0
@39	0	0	1	1	0
@4	28	79	47	190	47
@40	0	0	1	1	0
@41	0	1	1	2	0
@42	0	0	0	1	0
@44	0	1	1	0	0
@45	0	1	0	0	0
@46	0	2	0	0	0
@47	0	0	1	3	0
@48	0	0	0	0	1
@49	4	0	1	0	0
@51	0	0	20	1	15
@59	0	0	13	2	0
@63	0	0	0	1	0
@74	0	1	2	1	0
@78	0	0	3	0	0
@8	2	40	20	34	31
@85	0	0	41	25	0
AAVE	3	102	37	28	14
ACE	0	0	0	3	0
ADA	5	9	97	13	4
AI	6	0	0	7	0
AI16Z	29	0	23	46	17
AIXBT	5	0	48	47	9
ALGO	1	0	0	0	0
ALT	0	0	0	13	0
ANIME	0	0	0	2	0
APE	10	45	9	68	10
APT	1	0	5	0	0
AR	0	6	0	0	0
ARB	1	0	58	4	17
ARK	0	0	0	4	0
ATOM	0	3	8	6	4
AVAX	2	6	21	14	4
BADGER	10	0	0	0	0
BANANA	0	3	0	0	0
BIGTIME	0	0	0	29	0
BIO	2	0	8	0	0
BLAST	1	4	42	0	5
BLUR	1	0	6	4	0
BNB	1	6	5	6	0
BOME	2	0	0	0	0
BRETT	3	43	1	8	0
BTC	145	319	988	1483	227
CAKE	0	0	0	4	0
CANTO	0	0	0	0	8
CHILLGUY	1	10	12	22	1
COMP	0	0	0	59	0
CRV	36	13	32	21	0
CYBER	0	0	0	1	0
DOGE	1	24	72	181	3
DOT	0	13	11	27	2
DYDX	0	0	51	0	0
DYM	2	0	0	2	10
EIGEN	1	26	31	11	20
ENA	61	23	99	17	57
ENS	0	0	4	0	0
ETC	0	0	0	2	0
ETH	166	613	2226	1447	305
ETHFI	0	17	12	31	8
FARTCOIN	31	0	93	271	17
FET	0	2	0	7	0
FIL	0	0	0	0	5
FTM	0	0	0	23	4
FTT	12	226	118	41	40
FXS	0	14	0	37	13
GALA	6	0	0	1	0
GMT	1	0	0	2	0
GMX	0	57	0	9	0
GOAT	1	68	0	4	0
GRASS	20	2	39	21	22
GRIFFAIN	0	0	102	1	0
HBAR	2	52	30	14	17
HPOS	2	8	0	45	17
HYPE	1310	108	4165	1669	50
ILV	1	0	18	0	0
IMX	2	3	16	10	3
INJ	0	19	22	16	2
IO	3	58	4	214	5
IP	0	0	39	0	0
JELLY	0	0	0	74	0
JTO	0	0	4	0	0
JUP	12	35	135	19	0
KAITO	0	0	4	0	0
LDO	0	14	10	13	4
LINK	2	27	51	34	17
LTC	0	2	6	21	8
MANTA	0	2	15	14	5
MATIC	0	10	0	5	12
MAV	0	2	0	0	0
ME	0	10	126	6	0
MELANIA	27	0	127	81	0
MEME	0	41	15	1	0
MERL	0	0	2	0	0
MEW	1	0	0	0	0
MOODENG	3	60	0	30	0
MOVE	0	0	0	0	1
MYRO	0	0	0	13	0
NEAR	1	2	58	13	0
NEIROETH	1	0	0	0	0
NTRN	0	1	8	0	26
ONDO	0	0	104	58	1
OP	1	0	26	64	0
ORDI	0	5	0	21	0
PENDLE	18	2	147	123	0
PENGU	11	0	38	46	47
PEOPLE	0	0	0	1	0
PNUT	1	19	0	0	0
POLYX	0	0	0	14	0
POPCAT	1	0	0	4	0
PURR	33	12	114	81	122
PURR/USDC	20	115	152	208	44
RENDER	0	0	3	166	0
RNDR	0	34	2	30	0
RSR	26	0	0	0	0
RUNE	0	11	20	73	20
S	0	0	116	0	0
SAND	3	6	8	8	0
SEI	0	0	0	4	0
SOL	101	31	1086	499	3
SPX	0	0	14	0	0
STRK	0	8	7	9	4
STX	0	0	0	15	0
SUI	8	36	131	106	26
SUPER	3	0	0	0	0
SUSHI	1	41	13	0	16
TAO	1	1	76	1	22
TIA	1	10	23	25	2
TNSR	0	187	79	124	0
TRUMP	0	0	2	34	0
TRX	0	71	0	9	0
TURBO	0	29	8	9	12
UNI	1	5	0	2	0
USTC	0	0	0	1	0
USUAL	0	0	63	21	0
VINE	0	0	104	77	0
VIRTUAL	5	0	3	24	13
VVV	0	0	42	0	0
W	1	36	265	48	0
WIF	1	37	42	106	28
WLD	5	79	122	161	47
XAI	0	4	4	0	0
XRP	15	59	107	96	25
YGG	1	4	14	0	0
ZEREBRO	1	0	57	0	2
ZETA	1	5	0	24	0
ZK	0	4	16	4	2
ZRO	1	0	0	1	0
kBONK	7	46	26	199	99
kPEPE	23	63	82	90	55
kSHIB	0	10	1	3	0
