hour	Extreme Fear	Extreme Greed	Fear	Greed	Neutral
0.0	80	189	640	491	105
1.0	32	135	424	880	135
2.0	80	137	452	848	174
3.0	115	181	683	667	215
4.0	267	154	724	627	86
5.0	98	62	398	440	169
6.0	47	120	225	452	92
7.0	98	114	1347	367	33
8.0	211	244	650	655	45
9.0	20	96	397	600	29
10.0	8	360	526	469	56
11.0	7	365	514	297	201
12.0	10	302	739	243	34
13.0	105	344	319	182	29
14.0	8	347	269	200	278
15.0	173	172	192	303	263
16.0	58	253	603	281	109
17.0	25	156	312	392	86
18.0	206	144	876	748	26
19.0	190	427	737	361	30
20.0	57	278	809	511	74
21.0	50	283	722	536	244
22.0	240	322	410	365	193
23.0	141	436	901	377	50
